Index,Country,Last,High,Low,Chg.,Chg. %,Time
Dow Jones Industrial Average,united states,"35,921.23","36,108.17","35,915.27",-158.71,-0.44%,17:01:45
S&P 500,united states,"4,649.27","4,664.55","4,648.31",2.56,0.06%,15:59:57
NASDAQ Composite,united states,"15,704.30","15,768.00","15,695.80",81.6,0.52%,17:15:00
US Small Cap 2000,united states,"2,409.80","2,418.83","2,390.50",20.22,0.85%,15:59:57
CBOE Volatility Index,united states,17.66,18.39,17.27,-1.07,-5.71%,18:00:35
S&P/TSX Composite,canada,"21,581.98","21,621.47","21,556.04",120.05,0.56%,16:49:00
Bovespa,brazil,"107,595.00","108,669.00","105,988.00","1,627",1.54%,16:19:00
S&P/BMV IPC,mexico,"51,707.01","51,815.51","51,514.88",2.61,0.01%,16:16:00
DAX,germany,"16,083.11","16,114.55","16,032.50",15.28,0.10%,11:34:59
FTSE 100,united kingdom,"7,384.18","7,394.41","7,329.68",44.03,0.60%,11:35:00
CAC 40,france,"7,059.55","7,072.63","7,032.35",14.39,0.20%,12:05:02
Euro Stoxx 50,germany,"4,358.00","4,358.80","4,334.93",9.18,0.21%,11:35:00
AEX,netherlands,816.35,816.35,809.04,1.72,0.21%,12:05:02
IBEX 35,spain,"9,092.20","9,164.10","9,079.00",-49.60,-0.54%,11:34:52
FTSE MIB,italy,"27,633.20","27,653.98","27,480.65",72.20,0.26%,11:34:45
SMI,switzerland,"12,421.08","12,462.62","12,348.18",19.68,0.16%,11:35:00
PSI 20,portugal,"5,707.73","5,708.83","5,662.15",3.64,0.06%,11:35:30
BEL 20,belgium,"4,372.65","4,373.89","4,348.61",-8.04,-0.18%,11:29:58
ATX,austria,"3,928.28","3,928.28","3,865.18",47.28,1.22%,11:35:30
OMX Stockholm 30,sweden,"2,346.46","2,351.03","2,328.57",15.04,0.65%,11:29:59
OMX Copenhagen 25,denmark,"2,003.23","2,003.66","1,970.05",27.70,1.40%,11:00:00
MOEX Russia,russia,"4,189.35","4,189.35","4,126.52",16.88,0.40%,10:50:00
RTSI,russia,"1,854.48","1,854.57","1,826.58",0.84,0.05%,10:51:01
WIG20,poland,"2,366.59","2,407.83","2,355.75",-28.46,-0.12%,10/11
Budapest SE,hungary,"53,389.23","54,335.33","53,247.33",-710.04,-1.31%,10/11
BIST 100,turkey,"1,625.06","1,643.82","1,621.49",0.97,0.06%,10:10:11
TA 35,israel,"1,889.38","1,889.66","1,863.23",14.01,0.75%,10:24:18
Tadawul All Share,saudi arabia,"11,898.94","11,914.13","11,841.94",41.43,0.35%,07:19:00
Nikkei 225,japan,"29,569.00","29,584.00","29,407.00",291.14,0.99%,19:09:11
S&P/ASX 200,australia,"7,453.00","7,453.00","7,381.90",71.10,0.96%,19:08:44
Dow Jones New Zealand,new zealand,368.87,369.52,368.63,0.22,0.06%,19:07:00
Shanghai Composite,china,"3,532.79","3,534.20","3,482.83",40.32,1.15%,02:59:26
SZSE Component,china,"14,699.74","14,708.12","14,479.37",183.86,1.27%,03:29:03
FTSE China A50,china,"15,679.04","15,679.04","15,322.12",319.94,2.08%,02:01:00
Dow Jones Shanghai,china,525.56,525.70,517.57,0.00,0.00%,02:50:00
Hang Seng,china,"25,247.99","25,324.66","24,836.21",251.85,1.01%,03:00:01
Taiwan Weighted,taiwan,"17,452.52","17,527.18","17,403.48",-107.13,-0.61%,00:31:10
SET Index,thailand,"1,632.44","1,634.44","1,626.80",1.97,0.12%,04:46:00
KOSPI,south korea,"2,945.33","2,945.95","2,938.27",20.41,0.70%,19:08:10
Jakarta Stock Exchange Composite Index,indonesia,"6,691.34","6,704.46","6,671.23",8.20,0.12%,03:15:00
Nifty 50,india,"17,873.60","17,971.35","17,798.20",-143.60,-0.80%,05:01:25
BSE Sensex 30,india,"59,919.69","60,293.25","59,656.26",-433.13,-0.72%,07:25:12
PSEi Composite,philippines,"7,331.65","7,376.72","7,315.22",0.00,0.00%,00:00:00
Karachi 100,pakistan,"46,348.18","46,843.69","46,323.59",-281.70,-0.60%,07:29:45
VN 30,vietnam,"1,514.36","1,526.72","1,503.77",-9.43,-0.62%,03:02:08